"parts"	"mor"
"動詞"	"ぶる"
"助動詞"	"う"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"て"
"名詞"	"汽船"
"助詞"	"が"
"動詞"	"とまる"
"助詞"	"と"
"記号"	"、"
"名詞"	"艀"
"助詞"	"が"
"名詞"	"岸"
"助詞"	"を"
"動詞"	"離れる"
"助詞"	"て"
"記号"	"、"
"動詞"	"漕ぐ"
"名詞"	"寄せ手"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"船頭"
"助詞"	"は"
"名詞"	"真っ裸"
"助詞"	"に"
"名詞"	"赤"
"名詞"	"ふんどし"
"助詞"	"を"
"動詞"	"しめる"
"助詞"	"て"
"動詞"	"いる"
"記号"	"。"
"名詞"	"野蛮"
"助動詞"	"だ"
"名詞"	"所"
"助動詞"	"だ"
"記号"	"。"
"副詞"	"もっとも"
"連体詞"	"この"
"形容詞"	"熱い"
"名詞"	"さ"
"助詞"	"で"
"助詞"	"は"
"名詞"	"着物"
"助詞"	"は"
"動詞"	"きる"
"動詞"	"れる"
"助動詞"	"まい"
"記号"	"。"
"名詞"	"日"
"助詞"	"が"
"形容詞"	"強い"
"助詞"	"ので"
"名詞"	"水"
"名詞"	"がや"
"助詞"	"に"
"動詞"	"光る"
"記号"	"。"
"動詞"	"見つめる"
"助詞"	"て"
"動詞"	"いる"
"助詞"	"て"
"助詞"	"も"
"名詞"	"眼"
"助詞"	"が"
"動詞"	"くらむ"
"記号"	"。"
"名詞"	"事務員"
"助詞"	"に"
"動詞"	"聞く"
"助詞"	"て"
"動詞"	"みる"
"助詞"	"と"
"名詞"	"おれ"
"助詞"	"は"
"名詞"	"ここ"
"助詞"	"へ"
"動詞"	"降りる"
"名詞"	"の"
"助動詞"	"だ"
"名詞"	"そうだ"
"記号"	"。"
"動詞"	"見る"
"名詞"	"ところ"
"助詞"	"で"
"助詞"	"は"
"名詞"	"大森"
"助詞"	"ぐらい"
"助詞"	"な"
"名詞"	"漁村"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"人"
"助詞"	"を"
"名詞"	"馬鹿"
"助詞"	"に"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"感動詞"	"あ"
"記号"	"、"
"連体詞"	"こんな"
"名詞"	"所"
"助詞"	"に"
"名詞"	"我慢"
"助詞"	"が"
"動詞"	"出来る"
"名詞"	"もの"
"助詞"	"か"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"助詞"	"が"
"名詞"	"仕方がない"
"記号"	"。"
"名詞"	"威勢"
"形容詞"	"よい"
"名詞"	"一番"
"助詞"	"に"
"動詞"	"飛び込む"
"助動詞"	"だ"
"記号"	"。"
"接頭詞"	"続"
"動詞"	"づく"
"助詞"	"て"
"名詞"	"五"
"名詞"	"六"
"名詞"	"人"
"助詞"	"は"
"動詞"	"乗る"
"助動詞"	"た"
"助動詞"	"う"
"記号"	"。"
"名詞"	"外"
"助詞"	"に"
"連体詞"	"大きな"
"名詞"	"箱"
"助詞"	"を"
"名詞"	"四つ"
"助詞"	"ばかり"
"動詞"	"積み込む"
"助詞"	"で"
"名詞"	"赤"
"名詞"	"ふん"
"助詞"	"は"
"名詞"	"岸"
"助詞"	"へ"
"動詞"	"漕ぐ"
"動詞"	"戻す"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"陸"
"助詞"	"へ"
"動詞"	"着く"
"助動詞"	"た"
"名詞"	"時"
"助詞"	"も"
"記号"	"、"
"名詞"	"いの一番"
"助詞"	"に"
"動詞"	"飛び上がる"
"助詞"	"て"
"記号"	"、"
"副詞"	"いきなり"
"記号"	"、"
"名詞"	"磯"
"助詞"	"に"
"動詞"	"立つ"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"名詞"	"鼻"
"助動詞"	"たり"
"名詞"	"小僧"
"助詞"	"を"
"動詞"	"つる"
"動詞"	"まえる"
"助詞"	"て"
"名詞"	"中学校"
"助詞"	"は"
"名詞"	"どこ"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"聞く"
"助動詞"	"た"
"記号"	"。"
"名詞"	"小僧"
"助詞"	"は"
"名詞"	"ぼんやり"
"動詞"	"する"
"助詞"	"て"
"記号"	"、"
"動詞"	"知る"
"助動詞"	"ん"
"助詞"	"が"
"助詞"	"の"
"記号"	"、"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"。"
"名詞"	"気"
"助詞"	"の"
"動詞"	"利く"
"助動詞"	"ぬ"
"名詞"	"田舎者"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"猫の額"
"助詞"	"ほど"
"助動詞"	"だ"
"名詞"	"町内"
"助詞"	"の"
"名詞"	"癖"
"助詞"	"に"
"記号"	"、"
"名詞"	"中学校"
"助詞"	"の"
"名詞"	"在処"
"助詞"	"も"
"動詞"	"知る"
"助動詞"	"ぬ"
"名詞"	"奴"
"助詞"	"が"
"動詞"	"ある"
"名詞"	"もの"
"助詞"	"か"
"記号"	"。"
"名詞"	"ところ"
"助詞"	"へ"
"名詞"	"妙"
"助動詞"	"だ"
"名詞"	"筒"
"形容詞"	"っぽい"
"助詞"	"を"
"動詞"	"着る"
"助動詞"	"た"
"名詞"	"男"
"助詞"	"が"
"動詞"	"くる"
"助詞"	"て"
"記号"	"、"
"名詞"	"こっち"
"助詞"	"へ"
"動詞"	"来る"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"から"
"記号"	"、"
"名詞"	"尾"
"動詞"	"いる"
"助詞"	"て"
"動詞"	"行く"
"助動詞"	"た"
"記号"	"、"
"名詞"	"港屋"
"助詞"	"とか"
"動詞"	"云う"
"名詞"	"宿屋"
"助詞"	"へ"
"動詞"	"連れる"
"助詞"	"て"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"。"
"名詞"	"やな"
"名詞"	"女"
"助詞"	"が"
"名詞"	"声"
"助詞"	"を"
"動詞"	"揃える"
"助詞"	"て"
"接頭詞"	"お"
"動詞"	"上がる"
"動詞"	"なさる"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"ので"
"記号"	"、"
"動詞"	"上がる"
"名詞"	"の"
"助詞"	"が"
"名詞"	"いや"
"助詞"	"に"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"門口"
"助詞"	"へ"
"動詞"	"立つ"
"助動詞"	"た"
"助詞"	"なり"
"名詞"	"中学校"
"助詞"	"を"
"動詞"	"教える"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"記号"	"、"
"名詞"	"中学校"
"助詞"	"は"
"副詞"	"これから"
"名詞"	"汽車"
"助詞"	"で"
"名詞"	"二"
"名詞"	"里"
"助詞"	"ばかり"
"動詞"	"行く"
"助動詞"	"ない"
"助詞"	"ちゃ"
"動詞"	"いける"
"助動詞"	"ない"
"助詞"	"と"
"動詞"	"聞く"
"助詞"	"て"
"記号"	"、"
"副詞"	"なお"
"動詞"	"上がる"
"名詞"	"の"
"助詞"	"が"
"名詞"	"いや"
"助詞"	"に"
"動詞"	"なる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"おれ"
"助詞"	"は"
"記号"	"、"
"名詞"	"筒"
"形容詞"	"っぽい"
"助詞"	"を"
"動詞"	"着る"
"助動詞"	"た"
"名詞"	"男"
"助詞"	"から"
"記号"	"、"
"名詞"	"おれ"
"助詞"	"の"
"名詞"	"革"
"名詞"	"鞄"
"助詞"	"を"
"名詞"	"二つ"
"動詞"	"引く"
"助動詞"	"たい"
"助詞"	"て"
"記号"	"、"
"副詞"	"のそのそ"
"動詞"	"あるく"
"動詞"	"出す"
"助動詞"	"た"
"記号"	"。"
"名詞"	"宿屋"
"助詞"	"の"
"名詞"	"もの"
"助詞"	"は"
"名詞"	"変"
"助動詞"	"だ"
"名詞"	"顔"
"助詞"	"を"
"動詞"	"する"
"助詞"	"て"
"動詞"	"いる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"停車場"
"助詞"	"は"
"副詞"	"すぐ"
"動詞"	"知れる"
"助動詞"	"た"
"記号"	"。"
"名詞"	"切符"
"助詞"	"も"
"名詞"	"訳"
"形容詞"	"ない"
"動詞"	"買う"
"助動詞"	"た"
"記号"	"。"
"動詞"	"乗り込む"
"助詞"	"で"
"動詞"	"みる"
"助詞"	"と"
"名詞"	"マッチ箱"
"助詞"	"の"
"名詞"	"よう"
"助動詞"	"だ"
"名詞"	"汽車"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"ごろごろ"
"助詞"	"と"
"名詞"	"五分"
"助詞"	"ばかり"
"動詞"	"動く"
"助動詞"	"た"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"、"
"副詞"	"もう"
"動詞"	"降りる"
"助動詞"	"ない"
"助詞"	"ば"
"動詞"	"なる"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"道理"
"助詞"	"で"
"名詞"	"切符"
"助詞"	"が"
"形容詞"	"安い"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"副詞"	"たった"
"名詞"	"三"
"名詞"	"銭"
"助動詞"	"だ"
"助動詞"	"ある"
"記号"	"。"
"接続詞"	"それから"
"名詞"	"車"
"助詞"	"を"
"動詞"	"傭う"
"助詞"	"て"
"記号"	"、"
"名詞"	"中学校"
"助詞"	"へ"
"動詞"	"来る"
"助動詞"	"た"
"記号"	"、"
"副詞"	"もう"
"名詞"	"放課後"
"助詞"	"で"
"名詞"	"誰"
"助詞"	"も"
"動詞"	"居る"
"助動詞"	"ない"
"記号"	"。"
"名詞"	"宿直"
"助詞"	"は"
"副詞"	"ちょっと"
"名詞"	"用達"
"助詞"	"に"
"動詞"	"出る"
"助動詞"	"た"
"助詞"	"と"
"名詞"	"小使"
"助詞"	"が"
"動詞"	"教える"
"助動詞"	"た"
"記号"	"。"
"副詞"	"随分"
"名詞"	"気楽"
"助動詞"	"だ"
"名詞"	"宿直"
"助詞"	"が"
"動詞"	"いる"
"名詞"	"もの"
"助動詞"	"だ"
"記号"	"。"
"名詞"	"校長"
"助詞"	"でも"
"動詞"	"尋ねる"
"助動詞"	"う"
"助詞"	"か"
"助詞"	"と"
"動詞"	"思う"
"助動詞"	"た"
"助詞"	"が"
"記号"	"、"
"動詞"	"草臥れる"
"助動詞"	"た"
"助詞"	"から"
"記号"	"、"
"名詞"	"車"
"助詞"	"に"
"動詞"	"乗る"
"助詞"	"て"
"名詞"	"宿屋"
"助詞"	"へ"
"動詞"	"連れる"
"助詞"	"て"
"動詞"	"行く"
"助詞"	"と"
"名詞"	"車夫"
"助詞"	"に"
"動詞"	"云う"
"動詞"	"付ける"
"助動詞"	"た"
"記号"	"。"
"名詞"	"車夫"
"助詞"	"は"
"名詞"	"威勢"
"副詞"	"よく"
"名詞"	"山城屋"
"助詞"	"と"
"動詞"	"云う"
"名詞"	"うち"
"助詞"	"へ"
"名詞"	"横付け"
"助詞"	"に"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"名詞"	"山城屋"
"助詞"	"と"
"助詞"	"は"
"名詞"	"質屋"
"助詞"	"の"
"名詞"	"勘太郎"
"助詞"	"の"
"名詞"	"屋号"
"助詞"	"と"
"連体詞"	"同じ"
"接続詞"	"だから"
"副詞"	"ちょっと"
"形容詞"	"面白い"
"動詞"	"思う"
"助動詞"	"た"
"記号"	"。"
"副詞"	"何だか"
"名詞"	"二階"
"助詞"	"の"
"名詞"	"楷子"
"名詞"	"段"
"助詞"	"の"
"名詞"	"下"
"助詞"	"の"
"形容詞"	"暗い"
"名詞"	"部屋"
"助詞"	"へ"
"名詞"	"案内"
"動詞"	"する"
"助動詞"	"た"
"記号"	"。"
"形容詞"	"熱い"
"助詞"	"て"
"動詞"	"居る"
"動詞"	"れる"
"助動詞"	"やす"
"助動詞"	"ない"
"記号"	"。"
"連体詞"	"こんな"
"名詞"	"部屋"
"助詞"	"は"
"名詞"	"いや"
"助動詞"	"だ"
"助詞"	"と"
"動詞"	"云う"
"助動詞"	"た"
"副詞"	"あいにく"
"名詞"	"みんな"
"動詞"	"塞がる"
"助詞"	"て"
"動詞"	"おる"
"助動詞"	"ます"
"助詞"	"から"
"助詞"	"と"
"動詞"	"云う"
"助詞"	"ながら"
"名詞"	"革"
"名詞"	"鞄"
"助詞"	"を"
"動詞"	"抛り出す"
"助動詞"	"た"
"名詞"	"まま"
"名詞"	"出し手"
"動詞"	"行く"
"助動詞"	"た"
"記号"	"。"
"名詞"	"仕方がない"
"助詞"	"から"
"名詞"	"部屋"
